BCL6-HDAC4 complex;BCL6,HDAC4
Scrib-Git1-Arhgef7 complex;Git1,Scrib,Arhgef7
Ppar(alpha)-Pric320 complex;Ppara,Chd9
SCRIB-APC complex;APC,SCRIB
FACT-NEK9 complex;SSRP1,NEK9,SUPT16H
Scrib-APC-beta-catenin complex;Ctnnb1,Apc,Scrib
FACT complex;SSRP1,SUPT16H
FACT complex, UV-activated;CSNK2A2,CSNK2B,CSNK2A1,SSRP1,SUPT16H
Dysferlin-Dhpr complex;Dysf,Cacna1s
AnnexinVI-Fyn-Pyk2-RasGAP complex;Anxa6,Rasa1,Ptk2b,Fyn
Arf1-Ap1g1-Ap1b1 complex;Ap1g1,Ap1b1,Arf1
Cd44-Ots8 complex;Cd44,Pdpn
Class C Vps complex (VPS11, VPS18, STX7);STX7,VPS11,VPS18
Class C Vps complex (VPS11, VPS18, VPS16);VPS16,VPS11,VPS18
Class C Vps complex (hVPS11, hVPS18, rVPS33a );Vps33a,VPS11,VPS18
Class C Vps complex (hVPS11, hVPS18, hVPS16, rVPS33a );Vps33a,VPS16,VPS11,VPS18
CDC7-DBF7 complex;CDC7,DBF4
Kif17-Lin10 complex;,Kif17
SNARE complex (Stx1a, Snap25, Stxbp5);Stx1a,Snap25,Stxbp5
Fmrp-Lgl complex;Fmr1,Llgl1
Kif13a-AP1 complex;Ap1b1,Ap1g1,Ap1m1,Kif13a
Vcp-Ufd1-Npl4-IP3 receptor complex;Itpr1,Nploc4,Ufd1l,Vcp
p97-Ufd1-Npl4-IP3 receptor complex;Itpr1,Vcp,Ufd1l,Nploc4
LLGL2-PAR-6B-PRKCI complex;PRKCI,LLGL2,PARD6B
PAR-3-PAR-6B-PRKCI complex;PRKCI,PARD3,PARD6B
p97-Ufd1-Npl4 complex;Vcp,Ufd1l,Nploc4
Ufd1-Npl4 complex;Ufd1l,Nploc4
LLGL1-PAR-6B-PRKCI complex;PRKCI,LLGL1,PARD6B
p47-Vcp complex;Nsfl1c,Vcp
Tamalin-mGluR1a-cytohesin complex;Grm1,Cyth2,Grasp
Tamalin-mGluR1a complex;Grm1,Grasp
Tamalin-mGluR5 complex;Grik1,Grasp
mPar6c-Mlgl-aPKC complex;Prkci,Llgl1,Pard6a
Rab27a-Mlph-Myo5a complex;Mlph,Myo5a,Rab27a
Pallidin-Mu complex;Bloc1s5,Bloc1s6
Crb1-Mupp1-Pals1-Mpp4 complex;Mpp4,Mpdz,Crb1,Mpp5
Rab11Fip2-Ap2a complex;Ap2a1,Rab11fip2
Rab11-Fip2-Reps1 complex;Reps1,Rab11fip2
Sec61alpha-CollagenIV-Hsp47 complex;Col4a1,Serpinh1,Sec61a1
EED-EZH2 complex;EED,RBBP4,SUZ12,EZH2,AEBP2
Ocrl-Cdc42 complex;Cdc42,Ocrl
SNARE complex (Stx4, Snap25, Vamp2, Syt1);Syt1,Snap25,Vamp2,Stx4
SNARE complex (Stx3, Snap25, Vamp2, Syt1);Syt1,Snap25,Vamp2,Stx3
SNARE complex (Stx2, Snap25, Vamp2, Syt1);Syt1,Stx2,Snap25,Vamp2
SNARE complex (Stx1a, Snap25, Vamp2, Syt1);Syt1,Stx1a,Snap25,Vamp2
SNARE complex (Stx2, Snap25, Vamp2, Cplx1);Stx2,Snap25,Cplx1,Vamp2
SNARE complex (Stx2, Snap25, Vamp2, Cplx2);Stx2,Snap25,Vamp2,Cplx2
SNARE complex (Stx3, Snap25, Vamp2, Cplx2);Snap25,Vamp2,Cplx2,Stx3
Agap11-AP3 complex;Ap3s2,Agap1,Ap3m2,Ap3m1,Ap3b1
Tubulin polyglutamylase complex;Tpgs2,Ttll1,Lrrc49,Tpgs1,Nicn1
Kif5a-Dtnb-Dtna complex;Dtna,Dtnb,Kif5a
Kif5b-Dtnb complex;Dtnb,Kif5b
GAA1-GPI8-PIGT-PIG-PIGS complex;GPAA1,PIGK,PIGT,PIGS,PIGU
KIN17-PCNA-RPA70 complex;KIN,PCNA,RPA1
p23 protein complex;HNRNPA2B1,PTGES3,PDCD6
TorsinA-TorsinB complex;TOR1A,TOR1B
DNA synthesome complex;Pold2,Pcna,Prim1,Pola1,Prim2,Pola2,Lig1,Pold1,Top2a,Top1,Pold4,Pold3
Cask-Dlg1 complex;Cask,Dlg1
RC complex (Replication competent complex);POLA1,CCNA2,CDK2,RFC4,RFC2,RFC1,RFC5,RFC3,POLA2
RC complex during S-phase of cell cycle;PARP1,POLA1,TOP1,RPA2,LIG1,CCNA2,CDK2,RPA1,POLD1,RPA3,RFC2,RFC1,POLE
RC complex during G2/M-phase of cell cycle;CDK1,PARP1,POLA1,TOP1,CCNB1,RPA2,CCNA2,RPA1,POLD1,RPA3,RFC2,RFC1,POLE
Caveolin complex;Cyb5r3,Cav1,Actb,Actg1,Cav2,Flot2
CAK core complex (Cdk-activating kinase core complex);CDK7,CCNH
CAK complex (Cdk-activating kinase complex);CDK7,CCNH,MNAT1
SNARE complex (Stx1a,1b,7,13, Rtn1, Vamp2);Stx12,Stx7,Stx1a,Stx1b,Vamp2,Rtn1
Pcdhga1-Pcdha4 complex;Pcdha4,Pcdhga1
Pcdhga1-Pcdhgb2 complex;Pcdha4,Pcdhgb2
Pcdhga1-Pcdhga3 complex;Pcdha4,Pcdhga3
Pcdhga1-Pcdhgb4 complex;Pcdha4,Pcdhgb4
Pcdha7-Pcdhgb4 complex;Pcdhgb4,Pcdha7
Pcdha7-Pcdhga3 complex;Pcdhga3,Pcdha7
Pcdha7-Pcdhgb2 complex;Pcdhgb2,Pcdha7
Pcdha7-Pcdhga1 complex;Pcdhga1,Pcdha7
Fgr-Pyk2-p190RhoGap complex;Fgr,Arhgap35,Ptk2b
Baiap2-Tiam1 complex;Tiam1,Baiap2
Calreticulin-Tnfr1-Tradd complex;TNFRSF1A,TRADD,CALR
Ppp1r9b-Tiam1 complex;Tiam1,Ppp1r9b
SNARE complex (Stx4, Vamp7, Snap23, Syt7);Snap23,Stx4,Syt7,Vamp7
HNF4A-SUB1 complex;HNF4A,SUB1
CAK-ERCC2 complex;ERCC2,CDK7,CCNH,MNAT1
ORC 2-4 complex (origin recognition 2-4 complex);ORC4,ORC2,ORC3
ORC 2-5 complex (origin recognition 2-5 complex);ORC5,ORC4,ORC2,ORC3
OAP-1-OSP/claudin-11-ITGB1 complex;Itgb1,Cldn11,Tspan3
TFIIH transcription factor core complex;ERCC3,GTF2H1,GTF2H2,GTF2H3,GTF2H4
ORC 1-5 complex (origin recognition 1-5 complex);ORC5,ORC4,ORC1,ORC2,ORC3
PCNA-PAF complex;PCNA,KIAA0101
p33ING1b-PCNA complex;KIAA0101,ING1
Alpha-dystrobrevin-ZO-1-actin complex;ACTB,TJP1,DTNA
SRA-SRC-1 ribonucleoprotein complex;NCOA1,SRA1
Car-Lnx2 complex;Cxadr,Lnx2
Car-Jam3 complex;Cxadr,Jam3
Snurportin-CRM1-RanGTP complex;XPO1,SNUPN,RAN
Lnx1-Jam4 complex;Lnx1,Igsf5
Lnx1-Jam4-Numb complex;Lnx1,Igsf5,Numb
Hnf4-Pc4 complex;Sub1,Hnf4a
Vdr-Med4 complex;Vdr,Med4
Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1);RBX1,SKP1,CUL1,FBXW11
ESR1-RELA-BCL3-NCOA3 complex;ESR1,BCL3,RELA,NCOA3
ZNF198-PML complex;PML,ZMYM2
ZNF198-SUMO1 complex;SUMO1,ZMYM2
DIPA-MCRS1 complex;CCDC85B,MCRS1
SNX complex (SNX1, SNX6);SNX1,SNX6
Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26B);SNX2,SNX1,VPS26B,VPS35,VPS29
BAR-BCL2-CASP8 complex;BCL2,CASP8,BFAR
GRASP-GRP1 complex;CYTH3,GRASP
IFP35-NMI complex;IFI35,NMI
mPar6c-Mlgl-aPKCz complex;Prkcz,Llgl1,Pard6a
CD8A-LCK complex;CD8A,LCK
12S U11 snRNP;SNRPB,SNRPE,SNRPF,SNRPG,SNRPD1,SNRPD2,SNRPD3,YBX1,SNRNP35,SRSF7,SNRNP48,PDCD7,TOE1,SNRNP25,PRKRIP1
FIF-FGR2 complex;FGF2,API5
SNX complex (SNX1, SNX1a, SNX2, SNX4);SNX2,SNX4,SNX1
PKD2-FPC complex;PKHD1,PKD2
SNX complex (SNX2), oligomeric;SNX2
Pkd2-Pkhd1 complex;Pkhd1,Pkd2
Pkd2-Fpc-Kif3b complex;Pkd2,Kif3b,Pkhd1
KIF3A-PKD2-PKHD1 complex;PKHD1,PKD2,KIF3A
P-TEFb.1 complex;CCNT1,CDK9
P-TEFb.2 complex;CCNT2,CDK9
P-TEFb.4 complex;CCNK,CDK9
Tiam2-PAR-3-aPKC-PAR-6-Rac1-GTP complex;Tiam2,Prkci,Pard6a,Rac1,Pard3
DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1;PDXK,POLB,XRCC1,LIG3,NEIL2
DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1;PDXK,POLB,XRCC1,LIG3,NEIL1
BIRC5-AURKB-INCENP-EVI5 complex;BIRC5,EVI5,AURKB,INCENP
PRNP-ApolopoproteinE3 complex;PRNP,
VAM1-VELI1 complex;LIN7A,MPP6
APLG1-Rababtin5 complex;AP1G1,RABEP1
SNX complex (SNX1, SNX1a, SNX2, SNX4, LEPR);SNX2,SNX4,LEPR,SNX1
PCNA-KU antigen complex;PCNA,XRCC6,XRCC5
SNX complex (SNX1, SNX1a, SNX2, SNX4, INSR);SNX2,SNX4,INSR,SNX1
Frataxin complex;ATP5L,HSPD1,SDHA,HSPA9,FXN,LYRM4,AFG3L2
SNX complex (SNX1, SNX1a, SNX2, SNX4, EGFR);SNX2,SNX4,EGFR,SNX1
SNX complex (SNX1, SNX1a, SNX2, SNX4, PDGFRA);SNX2,SNX4,PDGFRA,SNX1
eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1);EIF3F,EIF3D,EIF3H,EIF3G,EIF3J,EIF3B,EIF3E,EIF3I,EIF3A,EIF3M,EIF3C,EIF3K,EIF3L
DNA synthesome complex (13 subunits);POLA1,TOP1,TOP2A,PCNA,RPA1,POLD1,RFC1,POLD2,PRIM1,PRIM2,POLA2,POLD3,POLD4
DNA synthesome complex (17 subunits);POLA1,TOP1,TOP2A,PCNA,RPA1,POLD1,RFC1,POLD2,PRIM1,PRIM2,POLE2,POLE,POLA2,POLD3,POLD4,POLE4,POLE3
transcription factor IIIC multisubunit complex;GTF3C1,GTF3C2,GTF3C4,GTF3C5,GTF3C3
Wave1-Bcl-xl-Pancortin-2 complex, focal ischemic stroke induced;Olfm1,Bad,Wasf1
SNX complex (SNX1, SNX1a, TFRC);TFRC,SNX1
TFIIIC containing-TOP1-SUB1 complex;TOP1,SUB1,GTF3C1,GTF3C2,GTF3C4,GTF3C5,GTF3C3
DNA synthesome core complex;POLA1,PCNA,POLD1,RFC1,POLD2,PRIM1,PRIM2,POLA2,POLD3,POLD4
DNA synthesome complex (15 subunits);POLA1,PCNA,LIG1,POLD1,RFC1,POLD2,PRIM1,PRIM2,POLE2,POLE,POLA2,POLD3,POLD4,POLE4,POLE3
DNA polymerase alpha;Pola1,Pola2
Psd-Actn1 complex;Psd,Actn1
5S-DNA-TFIIIA-TFIIIC2 subcomplex;GTF3C1,GTF3C2,GTF3A,GTF3C4,GTF3C5,GTF3C3
5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex;BDP1,TBP,GTF3C1,GTF3C2,GTF3A,BRF1,GTF3C4,GTF3C5,GTF3C3
Cdk5-Cdk5r1 complex;Cdk5r1,Cdk5
CRM1-Survivin-AuroraB mitotic complex;XPO1,BIRC5,AURKB
CRM1-Survivin mitotic complex;XPO1,BIRC5
Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5, AURKB);BIRC5,CDCA8,AURKB,INCENP
Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5);BIRC5,CDCA8,INCENP
WNK1-OSR1 complex;OXSR1,WNK1
Smcb-Smcd-PW29 complex;Rad21,Smc1a,Smc3
WNK1-SPAK complex;WNK1,STK39
SNARE complex (Snap25, Stx1a, Vamp2, Cplx1, Cplx3);Stx1a,Snap25,Cplx1,Vamp2,Cplx3
SNARE complex (Snap25, Stx1a, Vamp2, Cplx3, Cplx4);Stx1a,Snap25,Vamp2,Cplx4,Cplx3
SNARE complex (Snap25, Stx1a,3, Vamp2, Cplx1, Cplx3, Cplx4);Stx1a,Snap25,Cplx1,Vamp2,Stx3,Cplx4,Cplx3
Shps1-Fyb-Skap55r complex;Fyb,Sirpa,Skap2
Shps1-Pyk2 complex;Sirpa,Ptk2b
Complexin complex (Stx3, Cplx1, Cplx3);Cplx1,Stx3,Cplx3
Hip1R-cortactin complex;HIP1R,CTTN
RFC2-RIalpha complex;PPP2R1A,RFC4
ATR-HDAC2 complex;ATR,HDAC2
ATR-HDAC2-CHD4 complex;ATR,CHD4,HDAC2
Mss4-Itga3 complex;Itga3,Rabif
Mss4-Itga7 complex;Itga7,Rabif
SNARE complex (VAMP2, SNAP25, STX1a, CPLX1, CPLX3);CPLX1,SNAP25,VAMP2,STX1A,CPLX3
SNARE complex (VAMP2, SNAP25, STX1a, CPLX3, CPLX4);SNAP25,VAMP2,STX1A,CPLX4,CPLX3
SNARE complex (VAMP2, SNAP25, STX1a, STX3, CPLX1, CPLX3, CPLX4);CPLX1,SNAP25,VAMP2,STX3,STX1A,CPLX4,CPLX3
Complexin complex (STX3, CPLX1, CPLX3);CPLX1,STX3,CPLX3
CF IIAm complex (Cleavage factor IIAm complex);NUDT21,DHX16,PCF11,ERCC3,SFPQ,U2AF2,PTBP1,MRE11A,U2AF1,TJP1,CAPRIN1,CPSF6,CPSF7,GTF2H4,CLP1,CPSF3
SMN complex;GEMIN2,GEMIN4,SMN1, SMN2,GEMIN5,GEMIN6,GEMIN7,DDX20
Cleavage and polyadenylation factor (CPSF);CPSF4,CPSF1,FIP1L1,CPSF2,CPSF3
CPSF6-NUDT21 complex;CPSF6,NUDT21
Cleavage stimulation factor;CSTF2,CSTF1,CSTF3
Polyadenylation complex (CSTF1, CSTF2, CSTF3, SYMPK CPSF1, CPSF2, CPSF3);CSTF2,CSTF1,CPSF1,CSTF3,SYMPK,CPSF2,CPSF3
snRNP-free U1A (SF-A) complex;SNRPA,DDX5,SFPQ,NONO
Histone H3.1 complex;HAT1,NASP,HIST1H4A,,HIST1H3A,,RBBP4,CHAF1A,CHAF1B,IPO4,ASF1B,ASF1A
Histone H3.3 complex;HAT1,NASP,HIRA,HIST1H4A,,H3F3A, H3F,RBBP4,IPO4,ASF1B,ASF1A
Sycp1-Syce1-Syce2 complex;Syce2,Sycp1,Syce1
FA complex (Fanconi anemia complex);FANCG,FANCA,RPA1,BLM,FANCC,TOP3A,FANCB,RMI1,FANCE,FANCF,FANCL
Integrator complex;CPSF3L,INTS3,INTS5,INTS8,INTS1,INTS12,INTS4,INTS2,INTS9,INTS7,INTS10,INTS6
DSS1 complex;SAC3D1,BRCA2,SHFM1,CPSF3L,INTS5,INTS8,INTS4,LENG8,INTS2,INTS9,INTS7,INTS10,INTS6
Integrator-RNAPII complex;POLR2A,POLR2B,CPSF3L,INTS3,INTS5,INTS8,INTS1,INTS12,INTS4,INTS2,INTS9,INTS7,INTS10,INTS6
PS1-E-cadherin-catenin complex, epithelial;CTNNB1,CTNNA1,CDH1,PSEN1
PS1-E-cadherin-catenin complex, brain;Cdh1,Cdh2,Psen1,Ctnnb1
p33ING1b-p300 complex;EP300,ING1
p33ING1b-HDAC1 complex;HDAC1,ING1
ING1-p300-PCNA complex;PCNA,EP300,ING1
Smrt-Sin3A-Hdac7 complex;Sin3a,Hdac7,Ncor2
Ubiquitin E3 ligase (DDB1, DDB2, CUL4A, CUL4B, RBX1);RBX1,CUL4A,CUL4B,DDB1,DDB2
ING1-PCNA complex;PCNA,ING1
ActRIIA-ActRIB-Smad3-Arip1 complex;Acvr2a,Acvr1b,Smad3,Magi2
RNF20-RNF40-UbE2E1 complex;RNF40,UBE2E1,RNF20
p400-associated complex;ACTL6A,ACTB,EP400,RUVBL2,RUVBL1,TRRAP
Paf complex;CDC73,CTR9,PAF1,LEO1,WDR61
SKI complex;SKIV2L,TTC37,WDR61
SNARE complex (STX4, VAMP8, VAMP3, SNAP23);SNAP23,STX4,VAMP3,VAMP8
c-MYC-ATPase-helicase complex;ACTL6A,MYC,RUVBL2,RUVBL1,TRRAP
TIP49-TIP48-BAF53 complex;ACTL6A,RUVBL2,RUVBL1
PHAX-CBC complex (cap binding complex);NCBP2,NCBP1,PHAX
TRRAP-BAF53-HAT complex;ACTL6A,TRRAP
CRM1-RAN-PHAX-CBC complex (cap binding complex);XPO1,NCBP2,RAN,NCBP1,PHAX
Polycomb repressive complex 4;EED,EZH2,SIRT1
BCOR complex;HSPA8,SKP1,RING1,BCOR,RYBP,KDM2B,RNF2,PCGF1
CENP-A NAC-CAD complex;CENPC,ITGB3BP,CENPP,CENPU,CENPQ,CENPL,APITD1,CENPT,CENPN,CENPK,CENPO,CENPH,CENPM
Sur2 subcomplex of mediator;Med16,Med23,Med24
C complex spliceosome;SART1,HNRNPR,PLRG1,AQR,SYNCRIP,CDC40,SF3B1,SNRNP200,PRPF6,SLU7,SYF2,HNRNPC,SNRPB2,HNRNPA1,SNRPA1,PABPC1,SNRPB,DDX5,HNRNPA2B1,HNRNPH1,RBMX,EIF4A3,MTREX,HNRNPA3,HNRNPM,HNRNPF,MAGOH,HNRNPK,SNRPE,SNRPF,SNRPG,LSM3,SNRPD1,SNRPD2,SNRPD3,HNRNPU,U2AF1,SRSF1,SF3A3,SF3B2,PRPF4B,SNW1,FRG1,DHX8,EFTUD2,SF3B3,SF3A2,SF3A1,ZCCHC8,PRPF8,CWC27,ALYREF,SRRM1,CACTIN,DHX38,PPWD1,DGCR14,SNRNP40,CDC5L,GPATCH1,WDR83,DDX23,CRNKL1,PPIL3,PNN,DHX35,CWC22,XAB2,RBM22,CWC15,TFIP11,DDX41,RALY,ISY1,PRPF19,PPIE,SRRM2,LSM2,PPIL1,RBM8A
CDC5L core complex;PLRG1,BCAS2,HSPA8,GCN1,CDC5L,PRPF19
CDC5L complex;SFI1,PPM1D,PLRG1,SF3B1,BCAS2,SNRPA,SNRPA1,HSPA8,TOP2A,TCF4,SFPQ,RBMX,PPP1CA,SNRPD1,SNRPD2,SNRPD3,PRKDC,SRSF2,SRSF1,ILF2,SF3B2,DYNC1H1,SF3B4,BZW1,SRRM1,GCN1,CDC5L,CWC15,PRPF19,SCAF8
EGFR-containing signaling complex;PIK3C2A,PIK3C2B,EGFR,ERBB2
ESCRT-III complex;CHMP2A,CHMP1B,CHMP4C,CHMP6,CHMP4A,CHMP4B,CHMP1A,CHMP5,CHMP2B,CHMP3
ESCRT-II complex;VPS36,SNF8,VPS25
DNA double-strand break end-joining complex;NBN,XRCC6,XRCC5,LIG4,MRE11A,XRCC4,RAD50
NCBP-NIP1 complex;NCBP1,NECAB3
RNA pol II containing coactivator complex Tat-SF;SUPT5H,HTATSF1,NCL,POLR2A,CDK9
ESCRT-I complex;VPS37C,TSG101,VPS28
Rap1 complex;TERF1,TERF2,RAD50,ACD,TINF2,POT1,TERF2IP
E2F-6 complex;E2F6,GJB3,MAX,RING1,TFDP1,MGA,YAF2,L3MBTL2,EHMT2,RNF2,PCGF6,EHMT1
Exon junction complex (mRNA splicing-dependent);PRPF8,SRRM1
TIN2 complex;TERF2,ACD,TINF2,POT1
Oligosaccharyltransferase complex (Stt3A variant);RPN1,RPN2,DDOST,STT3A,DAD1,MAGT1
Oligosaccharyltransferase complex (Stt3B variant);RPN1,RPN2,DDOST,DAD1,TUSC3,STT3B,MAGT1
TRF1-TIN2 complex;TERF1,ACD,TINF2,POT1
TRF1 telomere length regulation complex;TNKS,TERF1,TINF2
Oligosaccharyltransferase OSTC-I;DAD1,RPN1,RPN2,STT3A,OSTC,KRTCAP2,DDOST
TRF2-Rap1 complex III;TERF2,TERF2IP
TRF-Rap1 complex I, 2MD;TNKS,TERF1,TERF2,TINF2,POT1,TERF2IP
TRF2-Rap1 complex II;TERF2,TINF2,POT1,TERF2IP
Oligosaccharyltransferase OSTC-II;DAD1,RPN1,RPN2,STT3A,SEC61A1,SEC61G,SEC61B,OSTC,KRTCAP2,DDOST
Oligosaccharyltransferase OSTC-III;SSR3,DAD1,RPN1,RPN2,STT3A,SSR1,SEC61A1,SEC61B,OSTC,KRTCAP2,DDOST
Sec61-Sec62-Sec63 complex;SEC63,SEC62,SEC61B,SEC61G,SEC61A1
Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1);ARNT,AHR,RBX1,TBL3,CUL4B,DDB1
SNARE complex (Stx4, Vamp8, Snap23);Snap23,Vamp8,Stx4
SNARE complex (Stx4, Vamp2, Snap23);Snap23,Vamp2,Stx4
Ubiquitin E3 ligase (DET1, DDB1, CUL4A, RBX1, COP1);RBX1,CUL4A,DDB1,DET1,RFWD2
Ubiquitin E3 ligase (FBXW7, CUL1, SKP1A, RBX1);RBX1,SKP1,CUL1,FBXW7
Hspb2-Hspb3 complex;Hspb2,Hspb3
WRN-TRF2 complex;WRN,TERF2
Tankyrin 1-tankyrin 2-TRF1 complex;TNKS,TERF1,TNKS2
TRF2-Ku complex;XRCC6,XRCC5,TERF2
TFIIA-TRF2 complex;GTF2A1,GTF2A2,TERF2
Irs1-Grb2-Ptpn1 complex;Ptpn1,Irs1,Grb2
H2AX complex, isolated from cells without IR exposure;HNRNPR,SSB,NPM1,HSPA5,PABPC1,H2AFX,CALR,CALM1, CAL,HIST1H4A,,SSRP1,HIST3H2BB,EIF3L,SUPT16H
Ubiquitin E3 ligase (BMI1, SPOP, CUL3);SPOP,BMI1,CUL3
Ubiquitin E3 ligase (H2AFY, SPOP, CUL3);SPOP,H2AFY,CUL3
H2AX complex I;NPM1,PARP1,HSPA5,H2AFX,CALR,DHX30,HIST3H2BB
H2AX complex II;NPM1,HSPA5,H2AFX,YBX3,CALR,HIST1H2BB,HIST1H4A,,HIST3H2BB,PTCD3,HIST1H2BM
Epsin-clathrin complex;Amph,Epn1,Ap2a2,Ap2m1,Snap91
RACK1-containing mRNP complex;Rack1,G3bp2,Pabpc1,Rimbp2
WINAC complex;ARID1A,ACTL6A,VDR,SMARCA2,SMARCA4,TOP2B,SMARCB1,CHAF1A,SMARCC2,SMARCC1,SMARCE1,SMARCD1,BAZ1B,SUPT16H
FIB-associated protein complex;PRMT5,FBL,C1QBP,TUBA1A,PRMT1,TUBB1
REST-CoREST-mSIN3A complex;REST,SIN3A,RCOR1
CoREST-HDAC2 complex;HDAC2,RCOR1
SNARE complex (Vamp2, Snap25, Stx1a, Syt1, Cplx1);Syt1,Stx1a,Snap25,Cplx1,Vamp2
SNARE complex (Vamp2, Snap25, Stx1a, Syt1, Cplx2);Syt1,Stx1a,Snap25,Vamp2,Cplx2
EBAFb complex;ACTL6A,SMARCA4,MLLT1,SMARCB1,ARID1B,SMARCC2,SMARCC1,SMARCD2,SMARCE1,SMARCD1
SC5bp-7 complex;C6,C7,C5,VTN,C9,C8A
Esr1-Pit1 complex;Esr1,Pou1f1
Ubiquitin E3 ligase (SPOP, DAXX, CUL3);SPOP,CUL3,DAXX
SNARE complex (STX1A, STX1B, SNAP25, RAB3A, SYT1, VAMP2);RAB3A,STX1A,SYT1,STX1B,VAMP2,SNAP25
Protein phosphatase 4 complex;PPP4C,PPP4R2
ERdj3-BiP complex;Hspa5,Dnajb11
SNARE complex (STX1a, STX1b, SNAP25, RAB3a, SYT1, VAMP2, CPLX2);RAB3A,STX1A,SYT1,STX1B,VAMP2,CPLX2,SNAP25
Apoptosome;APAF1,CYCS
RB-E2F1 complex;RB1,E2F1
EBAFa complex;ARID1A,ACTL6A,SMARCA4,MLLT1,SMARCB1,SMARCC2,SMARCC1,SMARCD2,SMARCE1,SMARCD1
Menin-associated histone methyltransferase complex;MEN1,POLR2B,WDR5,KDM6B,DPY30,ASH2L,KMT2B
Ubiquitin E3 ligase (SIAH1, SIP, SKP1A, TBL1X);TBL1X,SKP1,SIAH1,CACYBP
MLL-HCF complex;MEN1,SERPIND1,HCFC1,WDR5,KMT2A,KDM6B,ASH2L
ALL-1 supercomplex;SAP18,SMARCA5,KDM1A,SAP30,MTA2,MBD3,TBP,TAF1,TAF6,SMARCA2,WDR5,RAN,KMT2A,RBBP4,SMARCB1,CHD3,HDAC1,EFTUD2,KDM6B,TAF12,RBBP7,TAF9,SMARCC2,HDAC2,SYMPK,SMARCC1,SIN3A,CPSF2
Ubiquitin E3 ligase (GLMN, FBXW8, SKP1A, RBX1);RBX1,SKP1,FBXW8,GLMN
Chromatin assembly complex (CAF-1 complex);RBBP4,CHAF1A,CHAF1B
Neddylin ligase (FBXO11, SKP1, CUL1, RBX1);RBX1,SKP1,CUL1,FBXO11
SRm160/300 complex;SNRNP70,SNRPA1,TRA2B,SRRM1,SRRM2
HNRPF-HNRPH1 complex;HNRNPH1,HNRNPF
DCS complex (PTBP1, PTBP2, HNRPH1, HNRPF);PTBP1,HNRNPH1,HNRNPF,PTBP2
IPO13-RBM8A-MAGOH complex;IPO13,MAGOH,RBM8A
DCP1A-DCP2 Decapping complex;DCP2,DCP1A
MKK4-ARRB2-ASK1 complex;ARRB2,MAP2K4,MAP3K5
MKK4-ARRB2-JNK3 complex;ARRB2,MAP2K4,MAPK10
POSH-MLK3 complex;MAP3K11,SH3RF1
CRLR-RAMP1 complex;RAMP1,CALCRL
PIN1-AUF1 complex;PIN1,HNRNPD
Multiprotein complex (mRNA turnover);SYNCRIP,CSDE1,PABPC1,HNRNPD,PAIP1
PABPC1-HSPA8-HNRPD-EIF4G1 complex;HSPA8,PABPC1,EIF4G1,HNRNPD,
ATF7-TAF12 complex;ATF7,TAF12
Transcription initiation factor complex (TAF1, TAF5, TAF11, TAF12, TBP);TBP,TAF1,TAF5,TAF11,TAF12
Transcription initiation factor complex (TAF5, TAF6, TAF9, TAF11, TBP);TBP,TAF6,TAF5,TAF11,TAF9
Large Drosha complex;DDX3X,HNRNPDL,DHX15,DDX5,HNRNPH1,FUS,HNRNPM,HNRNPU,EWSR1,ILF2,ILF3,TARDBP,DGCR8,DDX1,TAF15,DDX17,SRPK1,HNRNPUL1,DROSHA,RALY
SNW1 complex;SNRNP200,UBR5,TUBB,HSPA5,PFKL,SFPQ,EEF1G,MATR3,MSH2,EEF1A1,HNRNPU,SNW1,EFTUD2,DDB1,PRPF8,CDC5L,DDX23,ABCF2
FOXO3-PCAF complex, oxidative stress stimulated;FOXO3,KAT2B
Septin complex;SEPT2,SEPT7,SEPT8,SEPT11,SEPT9
NPC subcomplex (NUP98, NUP107, NUP133, NUP160);NUP98,NUP107,NUP160,NUP133
GLE1-NUPL2-NUP155 complex;NUPL2,NUP155,GLE1
ING4 complex (ING4, JADE1, KAT7, MEAF6);KAT7,JADE1,MEAF6,ING4
Gata1-Tal1-Tcf3-Lmo2 complex;Tcf3,Gata1,Tal1,Lmo2
Rb-tal-1-E2A-Lmo2-Ldb1 complex;RB1,TCF3,TAL1,LMO2,LDB1
Ldb1-Lmo2-Gata-1-Tal1-E47 complex;Tcf3,Gata1,Tal1,Lmo2,Ldb1
Pyruvate dehydrogenase complex;PDHA1,DLD,DLAT,PDHB,PDHX
hASC-1 complex;TRIP4,ASCC3,ASCC1,ASCC2
Translocon-associated protein (TRAP) complex;SSR1,SSR2,SSR4,SSR3
GALNS-lysosomal hydrolase 1.27 MDa complex;CTSA,GLB1,GALNS,NEU1
